Animal ID,Length(cm),Developmental Stage,Sex,Vertebra,Region,Orientation,Spinous Process Length (mm),Right Transverse Process Length (mm),Left Transverse Process Length (mm),Average Transverse Process Length (mm),Sample #,Yield Strain,Yield Strength,Stiffness,Toughness
MNW16017,98,perinatal,M,T8,T,RC,21.75,9.15,12.86,11.005,1,0.1198,5.9702,73.4,0.35761498
MNW16017,98,perinatal,M,L1,L,RC,24.13,48.92,35.86,42.39,1,0.0832,3.7968,64.107,0.15794688
MNW16017,98,perinatal,M,Ca2,Ca1,RC,11.31,26.17,29.6,27.885,1,0.0887,7.1674,122.599,0.31787419
MNW16017,98,perinatal,M,Ca6,Ca2,RC,11.02,29.03,30.18,29.605,1,0.18957,6.0345,66.262,0.571980083
MNW16030,118,perinatal,M,T8,T,RC,,,,,1,0.08163,8.72229,162.07063,0.356000266
MNW16030,118,perinatal,M,L1,L,RC,,,,,1,0.03844,2.35213,92.0833,0.045207939
MNW16030,118,perinatal,M,Ca2,Ca1,RC,,,,,1,0.06959,5.4654,130.17408,0.190168593
MNW16030,118,perinatal,M,Ca6,Ca2,RC,,,,,1,0.08923,5.77025,107.91011,0.257439704
MSW16058,119,perinatal,M,T8,T,RC,,,,,1,0.10468,4.3072,87.64524,0.225438848
MSW16058,119,perinatal,M,L1,L,RC,24.23,damaged,33.21,33.21,1,0.07537,4.49726,99.30371,0.169479243
MSW16058,119,perinatal,M,Ca2,Ca1,RC,18.79,42.47,43.07,42.77,1,0.11693,6.18727,93.9382,0.361738741
MEC16038,113,perinatal,M,T8,T,RC,25.67,19.72,16.53,18.125,1,0.06674,6.04671,138.02797,0.201778713
MEC16038,113,perinatal,F,L1,L,RC,23.43,53.75,N/A,23.43,1,0.29389,6.77738,35.53217,0.995902104
MEC16038,113,perinatal,F,Ca2,Ca1,RC,27.78,38.89,40.58,39.735,1,0.11049,6.07216,82.30451,0.335456479
MEC16038,113,perinatal,F,Ca6,Ca2,RC,10.62,34.7,37.45,36.075,1,0.10167,7.1893,122.35121,0.365468066
MEC16048,130,perinatal,F,T8,T,RC,23.59,14.98,15.19,15.085,1,0.07823,7.6013,156.54269,0.29732485
MEC16048,130,perinatal,F,L1,L,RC,22.01,22.94D,33.21,33.21,1,0.07571,6.42483,141.48483,0.24321194
MEC16048,130,perinatal,F,Ca2,Ca1,RC,19,38.32,19.23D,38.32,1,0.15926,6.35788,57.96027,0.506277984
MEC16048,130,perinatal,F,Ca6,Ca2,RC,9.73,41.45,30.97D,41.45,1,0.14036,7.91578,84.55372,0.55552944
MSW16028,192,calf,F,T8,T,RC,45.3,26.51,26.58,26.545,1,0.09814,8.93411,153.182,0.438396778
MSW16028,192,calf,F,T8,T,RC,45.3,26.51,26.58,26.545,2,0.0614,13.83406,374.28525,0.424705642
MSW16028,192,calf,F,T8,T,RC,45.3,26.51,26.58,26.545,3,0.04923,7.73819,221.802,0.190475547
MSW16028,192,calf,F,L1,L,RC,45.98,66.43,66.65,66.54,1,0.09025,23.93065,476.935,1.079870581
MSW16028,192,calf,F,L1,L,RC,45.98,66.43,66.65,66.54,2,0.08303,14.12988,271.93,0.586601968
MSW16028,192,calf,F,L1,L,RC,45.98,66.43,66.65,66.54,3,0.09504,25.56348,566.19801,1.21477657
MSW16028,192,calf,F,L1,L,RC,45.98,66.43,66.65,66.54,4,0.06183,12.53648,337.469,0.387565279
MSW16028,192,calf,F,L1,L,RC,45.98,66.43,66.65,66.54,5,0.07585,30.31089,655.30682,1.149540503
MSW16028,192,calf,F,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,1,0.08228,9.894,227.231,0.40703916
MSW16028,192,calf,F,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,2,0.1516,16.576,182.096,1.2564608
MSW16028,192,calf,F,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,3,0.112,18.5366,319.77037,1.0380496
MSW16028,192,calf,F,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,4,0.12617,16.85926,207.40644,1.063566417
MSW16028,192,calf,F,Ca2,Ca1,RC,38.46,88.04,91.84,89.94,5,0.11532,22.19821,286.54197,1.279948789
MSW16028,192,calf,F,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,1,0.10879,15.76086,266.381,0.85731198
MSW16028,192,calf,F,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,2,0.10939,19.05843,264.441,1.042400829
MSW16028,192,calf,F,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,3,0.15722,18.69015,221.259,1.469232692
MSW16028,192,calf,F,Ca6,Ca2,RC,17.32,70.97,31.11D,70.97,4,0.10055,20.66831,376.45938,1.039099285
SWFTM1603b,219,calf,M,T8,T,RC,64.48,51.9,51.19,51.545,1,0.11609,9.86611,147.11939,0.572678355
SWFTM1603b,219,calf,M,T8,T,RC,64.48,51.9,51.19,51.545,2,0.06964,6.60237,149.70449,0.229894523
SWFTM1603b,219,calf,M,T8,T,RC,64.48,51.9,51.19,51.545,3,0.07919,11.3158,244.44857,0.448049101
SWFTM1603b,219,calf,M,T8,T,RC,64.48,51.9,51.19,51.545,4,0.07937,13.03156,275.93038,0.517157459
SWFTM1603b,219,calf,M,T8,T,RC,64.48,51.9,51.19,51.545,5,0.07824,10.1969,190.50358,0.398902728
SWFTM1603b,219,calf,M,L1,L,RC,43.08,66.13,66.2,66.165,1,0.05843,6.15648,167.11899,0.179861563
SWFTM1603b,219,calf,M,L1,L,RC,43.08,66.13,66.2,66.165,2,0.08143,7.59218,145.74198,0.309115609
SWFTM1603b,219,calf,M,L1,L,RC,43.08,66.13,66.2,66.165,3,0.0698,7.88523,221.41266,0.275194527
SWFTM1603b,219,calf,M,L1,L,RC,43.08,66.13,66.2,66.165,4,0.06195,9.83441,256.40307,0.30462085
SWFTM1603b,219,calf,M,Ca2,Ca1,RC,37.25,96.77,100.97,98.87,1,0.09183,23.50452,483.6024,1.079210036
SWFTM1603b,219,calf,M,Ca2,Ca1,RC,37.25,96.77,100.97,98.87,2,0.13149,14.64679,150.06589,0.962953209
SWFTM1603b,219,calf,M,Ca2,Ca1,RC,37.25,96.77,100.97,98.87,3,0.1104,16.5078,311.48871,0.91123056
SWFTM1603b,219,calf,M,Ca2,Ca1,RC,37.25,96.77,100.97,98.87,4,0.1533,18.20389,295.55197,1.395328169
SWFTM1603b,219,calf,M,Ca2,Ca1,RC,37.25,96.77,100.97,98.87,5,0.0963,20.06877,429.76242,0.966311276
SWFTM1603b,219,calf,M,Ca6,Ca2,RC,20.68,82.1,82.68,82.39,1,0.11584,14.32442,206.56467,0.829670406
SWFTM1603b,219,calf,M,Ca6,Ca2,RC,20.68,82.1,82.68,82.39,2,0.08757,13.49771,293.80918,0.590997232
SWFTM1603b,219,calf,M,Ca6,Ca2,RC,20.68,82.1,82.68,82.39,3,0.10643,17.24711,264.62371,0.917804959
SWFTM1603b,219,calf,M,Ca6,Ca2,RC,20.68,82.1,82.68,82.39,4,0.11316,18.23952,314.33208,1.031992042
SWFTM1603b,219,calf,M,Ca6,Ca2,RC,20.68,82.1,82.68,82.39,5,0.12257,16.5586,212.27434,1.014793801
MNW16019,206,calf,M,T8,T,RC,31.4,46.49,44.54,45.515,1,0.06004,3.58799,120.29128,0.10771146
MNW16019,206,calf,M,T8,T,RC,31.4,46.49,44.54,45.515,2,0.12269,11.48112,171.63302,0.704309306
MNW16019,206,calf,M,T8,T,RC,31.4,46.49,44.54,45.515,3,0.09636,14.13698,224.22881,0.681119696
MNW16019,206,calf,M,T8,T,RC,31.4,46.49,44.54,45.515,4,0.0538,14.7922,438.47484,0.39791018
MNW16019,206,calf,M,T8,T,RC,31.4,46.49,44.54,45.515,5,0.08464,7.32071,130.03911,0.309812447
MNW16019,206,calf,M,L1,L,RC,26.03,79.16,79.67,79.415,1,0.08694,5.81563,108.90991,0.252805436
MNW16019,206,calf,M,L1,L,RC,26.03,79.16,79.67,79.415,2,0.09851,8.78549,135.10896,0.43272931
MNW16019,206,calf,M,L1,L,RC,26.03,79.16,79.67,79.415,3,0.13287,11.45943,147.34759,0.761307232
MNW16019,206,calf,M,L1,L,RC,26.03,79.16,79.67,79.415,4,0.08334,10.91581,259.39558,0.454861803
MNW16019,206,calf,M,Ca2,Ca1,RC,18.97,76.44,72.65,74.545,1,0.10554,16.08097,279.38998,0.848592787
MNW16019,206,calf,M,Ca2,Ca1,RC,18.97,76.44,72.65,74.545,2,0.09801,16.30991,312.44501,0.79926714
